Vehicle Type,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
Uber XL,6.8,20.8,108.0,16.25,4.4,4.6,0
Bike,14.9,18.7,446.0,9.14,3.7,3.8,3
Go Mini,5.3,42.7,405.0,36.12,4.3,4.8,0
Go Mini,12.1,37.2,730.0,43.92,4.4,5.0,3
Go Sedan,8.9,21.5,705.0,24.26,4.0,4.6,3
Auto,10.8,36.9,50.0,48.99,4.2,4.9,3
Go Sedan,7.5,21.6,665.0,4.94,4.6,4.2,2
Go Sedan,14.4,37.0,56.0,48.53,4.6,4.0,3
Bike,13.0,31.6,1641.0,38.53,4.2,4.1,3
Auto,12.1,27.4,2195.0,23.89,4.6,4.2,3
Bike,11.2,44.0,463.0,8.92,4.4,4.8,0
Go Sedan,11.0,24.5,186.0,43.77,4.1,4.5,3
Go Sedan,5.9,25.7,426.0,7.04,3.7,4.3,3
Auto,5.6,41.7,321.0,13.2,3.8,4.7,3
Auto,7.5,42.2,283.0,48.71,3.7,4.3,4
Auto,3.1,42.9,616.0,11.32,5.0,4.9,2
Go Mini,11.7,32.7,538.0,9.8,4.2,4.7,1
Go Sedan,8.6,42.0,91.0,46.6,4.2,4.9,0
Go Sedan,2.3,33.5,616.0,43.71,4.1,4.7,3
Premier Sedan,12.7,34.5,281.0,10.63,4.3,4.2,0
Go Mini,5.9,40.7,454.0,32.27,3.8,4.2,3
Go Sedan,13.3,19.7,691.0,17.87,4.6,4.6,3
Go Mini,12.3,31.6,1514.0,14.7,4.3,4.7,3
Go Sedan,12.7,31.9,155.0,46.99,4.1,4.0,0
Go Sedan,9.6,16.6,263.0,29.77,4.6,4.2,3
Premier Sedan,10.1,34.5,143.0,20.99,4.8,4.8,0
Go Sedan,3.1,25.7,308.0,30.64,4.0,3.8,3
Auto,11.5,30.4,938.0,30.97,4.3,4.6,3
Auto,3.6,23.9,581.0,24.68,4.2,4.9,3
Go Sedan,13.6,15.8,722.0,16.4,4.2,3.9,0
Auto,4.3,20.6,1016.0,9.55,4.4,4.4,3
Auto,5.3,29.7,694.0,7.15,3.2,4.9,3
Go Sedan,14.3,15.0,1950.0,37.78,4.2,4.3,0
Auto,8.2,34.0,680.0,48.86,4.9,4.9,3
eBike,5.2,29.5,162.0,8.56,4.7,4.1,3
Auto,2.7,21.0,387.0,23.67,4.3,4.7,3
Premier Sedan,9.3,44.0,367.0,14.05,3.7,4.1,1
Auto,12.3,21.7,841.0,10.73,3.3,4.3,0
Premier Sedan,7.3,16.2,741.0,30.61,4.2,4.6,0
Auto,2.0,35.0,334.0,4.95,4.5,4.9,1
Bike,8.0,23.1,570.0,36.0,5.0,4.5,2
Go Sedan,14.3,30.4,414.0,3.52,3.9,4.9,3
Auto,7.7,39.3,228.0,6.65,3.9,4.2,2
Go Sedan,2.9,39.7,426.0,42.99,4.2,4.7,4
Auto,11.1,15.1,170.0,31.56,4.6,4.9,3
Go Mini,11.8,20.1,134.0,30.63,4.2,4.6,4
Go Sedan,10.4,16.2,459.0,36.9,3.0,5.0,1
Go Mini,12.1,40.7,1080.0,25.79,3.8,3.8,3
Bike,7.8,23.4,427.0,46.34,4.3,3.1,0
Auto,5.5,40.2,157.0,28.43,3.9,4.2,3
Auto,6.5,43.1,475.0,42.41,4.7,4.7,0
Bike,9.2,26.0,95.0,43.46,4.2,4.3,4
Auto,4.9,19.3,77.0,19.1,4.7,4.3,3
Uber XL,5.6,40.5,349.0,30.08,3.9,3.1,3
Go Mini,6.7,21.8,436.0,16.96,4.1,4.5,0
Premier Sedan,13.6,30.1,170.0,35.77,4.3,4.9,0
Premier Sedan,6.1,28.6,153.0,36.69,4.6,3.6,4
Go Sedan,2.2,18.4,806.0,36.66,4.6,4.3,3
Bike,14.5,24.8,443.0,15.97,4.4,4.9,0
Auto,13.6,22.6,744.0,9.89,4.2,4.4,3
eBike,14.9,35.1,484.0,24.64,4.5,3.7,3
Go Mini,11.9,31.8,772.0,40.28,4.9,4.8,1
eBike,14.9,24.3,461.0,49.1,4.3,4.5,2
eBike,9.2,30.1,448.0,24.69,3.1,4.3,3
Bike,13.9,15.5,292.0,31.42,4.6,4.6,3
Auto,14.0,23.6,326.0,3.18,4.3,4.4,1
Auto,7.0,39.7,736.0,2.44,4.2,4.6,3
Bike,10.4,36.6,180.0,36.17,4.2,4.3,0
Go Sedan,10.4,29.9,113.0,45.92,4.6,4.9,3
Auto,8.1,22.3,290.0,7.38,4.5,4.9,3
Go Mini,10.7,15.4,371.0,6.29,3.7,4.6,1
Auto,14.4,37.9,770.0,33.85,4.6,4.6,4
Auto,13.6,40.4,169.0,16.6,4.8,4.9,3
Go Mini,7.6,16.2,97.0,8.82,3.8,4.4,3
Premier Sedan,13.2,36.0,238.0,14.34,3.5,4.2,3
Go Mini,13.0,36.8,367.0,20.96,4.3,3.8,2
Go Sedan,10.2,19.9,141.0,31.7,4.4,5.0,3
Auto,14.3,43.0,160.0,38.56,4.3,4.4,0
Premier Sedan,11.2,15.5,866.0,14.13,3.2,4.9,1
Go Mini,9.2,44.0,453.0,30.47,4.6,4.3,1
Premier Sedan,9.5,16.7,335.0,3.85,4.8,3.6,3
Go Mini,7.9,34.8,405.0,7.47,4.1,5.0,0
Bike,6.4,31.6,272.0,44.47,4.2,4.6,0
Go Sedan,13.9,26.3,992.0,29.99,4.3,4.9,0
Auto,13.7,44.8,96.0,5.53,4.4,4.1,3
Auto,6.9,32.7,202.0,3.84,4.8,4.6,3
Auto,4.5,36.3,182.0,28.78,4.7,4.2,4
Go Mini,14.7,23.1,549.0,15.34,4.4,3.1,1
Auto,9.3,39.4,167.0,40.44,4.4,3.7,3
Go Mini,9.8,27.6,495.0,46.38,4.9,4.1,1
Go Mini,4.0,20.3,529.0,49.07,4.2,4.6,3
Auto,9.3,39.8,1043.0,35.59,4.4,4.9,3
Go Mini,12.0,39.4,87.0,49.58,3.6,3.7,1
Go Sedan,13.5,37.1,940.0,5.25,4.1,3.2,3
Go Mini,14.9,31.3,140.0,47.95,4.4,4.2,3
eBike,3.7,43.1,94.0,25.05,4.5,4.9,3
eBike,4.1,35.7,998.0,39.66,4.3,4.9,3
eBike,9.3,32.8,228.0,35.8,3.7,4.3,3
eBike,6.0,41.5,193.0,15.88,4.2,4.3,3
Bike,5.2,16.8,233.0,18.82,4.3,4.5,4
Go Mini,11.1,37.9,191.0,43.44,4.8,3.1,0
Auto,11.6,15.9,984.0,6.91,4.6,3.6,0
Go Sedan,7.5,20.2,159.0,37.86,4.3,4.9,3
Go Sedan,11.3,16.5,182.0,30.87,4.6,4.1,0
eBike,7.5,42.3,679.0,36.06,3.7,4.6,0
Premier Sedan,13.8,31.8,518.0,34.57,4.6,4.2,1
Go Mini,13.3,16.6,309.0,21.68,4.0,4.2,3
eBike,13.0,19.6,3010.0,7.11,4.0,3.7,3
Go Sedan,3.9,42.8,317.0,7.04,4.2,3.2,0
Premier Sedan,5.3,18.3,546.0,35.25,4.1,4.7,4
Go Sedan,14.4,36.3,408.0,43.64,4.7,4.3,0
Bike,7.0,35.0,664.0,8.25,4.2,4.6,1
Go Sedan,8.8,41.3,410.0,6.92,4.3,4.8,1
Go Sedan,11.9,30.5,551.0,29.3,3.4,3.4,3
Bike,11.5,35.4,172.0,33.6,3.7,4.7,0
Auto,12.3,22.1,77.0,22.17,4.6,4.6,2
eBike,11.6,30.4,136.0,39.45,3.8,4.1,0
Go Mini,12.2,42.5,470.0,10.6,4.7,4.3,3
Go Sedan,7.0,34.3,436.0,15.37,4.3,4.3,0
eBike,14.1,27.8,439.0,36.93,4.1,4.3,0
Go Mini,13.2,32.3,171.0,9.19,4.2,4.6,3
Go Sedan,8.3,33.2,766.0,45.83,4.3,4.7,3
Auto,11.1,42.5,144.0,25.74,4.9,4.6,0
Go Sedan,6.0,34.7,347.0,45.06,4.2,4.7,3
Go Mini,2.6,21.0,133.0,15.06,3.6,4.8,3
Go Mini,13.8,29.7,408.0,14.55,4.6,4.6,0
Bike,11.0,31.1,614.0,33.62,3.6,4.8,0
Go Sedan,2.7,41.4,1358.0,4.7,4.5,4.0,0
Auto,4.6,39.3,804.0,36.06,4.1,4.5,0
Go Mini,5.8,17.8,996.0,27.73,4.3,4.5,4
Auto,14.0,19.4,148.0,14.33,4.7,4.5,3
Auto,4.1,38.9,983.0,29.24,4.6,4.8,0
Go Sedan,6.1,31.4,604.0,7.1,4.3,3.7,0
Bike,6.4,40.8,167.0,39.49,4.2,5.0,3
Go Sedan,14.3,42.6,395.0,3.5,4.3,4.7,0
Go Sedan,11.9,28.2,2728.0,13.27,4.3,4.9,3
Bike,5.6,34.4,965.0,39.35,4.1,4.3,0
Go Sedan,13.5,30.4,283.0,7.08,4.1,4.6,3
Premier Sedan,10.5,27.1,157.0,21.23,4.3,4.1,3
Bike,6.2,36.1,567.0,9.58,4.2,4.1,3
Premier Sedan,5.3,22.6,951.0,32.32,4.4,4.3,4
Auto,11.3,28.5,583.0,43.19,4.3,4.3,3
Auto,10.5,42.5,254.0,11.45,4.4,4.5,0
Go Mini,10.5,44.2,814.0,2.83,4.1,4.2,3
Bike,12.4,18.1,634.0,12.74,4.7,5.0,3
Auto,6.3,29.3,161.0,2.42,4.8,4.1,3
Go Mini,6.2,42.4,671.0,34.48,3.7,4.1,3
Go Sedan,12.9,38.8,55.0,13.99,3.2,4.5,0
Go Mini,8.2,39.0,923.0,14.01,4.6,4.8,0
Bike,7.9,41.9,439.0,37.41,4.6,4.8,4
Auto,11.0,16.9,204.0,10.69,4.4,3.8,0
Go Sedan,3.3,19.1,268.0,11.67,3.7,4.6,3
Auto,4.1,41.1,744.0,10.38,3.6,5.0,1
eBike,6.7,36.5,451.0,9.69,4.3,4.3,3
Premier Sedan,14.0,26.5,270.0,41.17,4.3,4.1,3
Auto,11.8,34.7,1051.0,6.88,4.4,4.6,3
Bike,7.7,43.9,1160.0,25.98,3.6,4.1,3
eBike,11.5,22.5,560.0,48.61,4.2,4.6,3
Auto,12.3,41.6,199.0,7.79,5.0,4.8,3
Auto,12.4,19.4,1410.0,25.06,4.7,4.7,3
Uber XL,9.8,15.5,344.0,46.87,4.1,4.9,3
Auto,6.5,34.0,1414.0,39.9,4.3,3.9,4
Auto,14.8,25.9,382.0,42.11,4.6,4.2,2
Go Sedan,7.0,37.9,428.0,45.29,4.3,4.2,3
Go Sedan,11.9,35.3,805.0,37.84,4.3,4.5,0
Go Sedan,3.8,24.3,890.0,10.69,5.0,4.6,4
Uber XL,5.3,23.4,872.0,40.85,4.2,3.6,4
Go Sedan,9.4,30.2,581.0,47.37,4.5,4.2,3
Auto,2.5,27.8,193.0,8.98,4.4,4.2,1
Go Sedan,6.5,25.7,413.0,23.06,4.5,4.1,3
Uber XL,11.6,24.5,399.0,25.39,4.3,4.2,3
Bike,3.3,29.2,156.0,17.6,3.7,4.1,0
Auto,9.6,35.0,164.0,26.86,3.0,4.4,2
Auto,10.6,38.6,831.0,44.17,4.1,4.6,2
Bike,11.7,32.9,842.0,38.2,4.2,3.7,4
Premier Sedan,14.1,27.5,1396.0,17.33,4.3,4.3,1
Go Sedan,7.4,34.6,133.0,19.37,4.6,4.2,3
Go Sedan,12.8,31.2,168.0,31.26,3.8,4.3,0
Go Mini,3.2,39.5,437.0,38.97,4.3,4.8,2
Bike,11.5,24.5,358.0,44.39,3.8,4.5,0
Bike,10.1,40.6,325.0,34.8,5.0,4.3,0
Premier Sedan,10.6,30.9,387.0,10.78,3.3,4.6,0
Auto,2.1,29.7,455.0,20.33,4.9,4.8,3
Premier Sedan,11.8,29.0,172.0,10.69,3.8,4.6,3
Go Mini,8.1,23.7,454.0,13.02,4.4,4.8,0
eBike,6.4,38.0,1035.0,38.32,4.5,3.5,0
Go Sedan,4.9,28.1,401.0,43.17,3.8,4.5,4
Auto,12.3,36.6,742.0,33.1,4.4,4.3,2
eBike,12.7,27.4,1463.0,34.39,4.2,4.6,3
Uber XL,14.0,17.8,825.0,11.64,4.7,5.0,3
Auto,6.8,25.0,376.0,27.44,4.3,4.2,2
Auto,11.6,31.8,680.0,12.68,4.1,4.1,3
eBike,13.8,24.8,68.0,24.96,4.5,4.2,3
Go Mini,5.6,19.6,524.0,11.03,3.7,4.1,0
Auto,4.5,34.7,380.0,31.85,4.4,4.3,3
Go Mini,11.8,38.2,55.0,38.53,3.2,3.7,3
Go Sedan,4.0,17.2,576.0,13.42,4.1,4.1,0
Go Sedan,12.1,27.3,176.0,49.11,4.4,3.7,1
Auto,10.2,33.5,741.0,44.97,4.3,3.9,3
Go Mini,10.4,31.1,694.0,32.93,4.2,4.7,3
Go Sedan,7.8,34.3,674.0,49.62,3.9,4.9,1
Go Sedan,11.6,38.5,805.0,27.34,4.6,3.5,1
Auto,5.3,31.4,808.0,15.42,4.3,4.2,3
Premier Sedan,10.4,32.7,174.0,48.3,4.9,4.7,3
Auto,11.4,37.2,299.0,6.24,3.8,4.2,3
Premier Sedan,14.6,42.5,428.0,33.4,4.6,3.9,4
Go Mini,3.9,25.3,263.0,25.98,4.7,3.9,3
Auto,13.6,22.1,729.0,34.98,4.2,4.3,0
Uber XL,11.5,15.3,73.0,35.83,4.3,5.0,3
Auto,5.0,31.6,922.0,15.81,3.9,4.9,0
Go Sedan,9.7,31.8,599.0,43.3,4.3,4.6,3
Go Mini,10.0,26.6,556.0,28.47,4.6,4.2,0
Premier Sedan,3.5,33.0,113.0,44.85,4.6,4.2,0
Uber XL,9.5,27.3,271.0,20.12,4.7,4.3,2
Go Mini,12.7,38.1,1261.0,36.7,4.1,4.3,0
Premier Sedan,5.6,34.0,371.0,13.5,4.1,5.0,0
Go Sedan,15.0,29.2,245.0,12.37,4.0,3.9,0
Bike,14.4,28.5,399.0,41.93,4.3,4.9,1
Go Sedan,14.0,30.1,662.0,10.08,3.8,4.9,4
Auto,10.7,37.7,422.0,47.31,4.3,4.1,3
Bike,4.7,28.5,326.0,49.63,4.4,4.6,3
Go Mini,5.7,28.4,295.0,13.34,3.4,4.3,0
Go Mini,3.9,17.8,717.0,29.85,4.3,4.7,3
eBike,13.7,36.2,221.0,12.92,4.1,4.9,0
Auto,6.1,17.1,102.0,39.12,3.1,4.4,4
Go Sedan,10.3,19.4,140.0,18.01,3.9,4.1,1
Go Mini,12.5,15.3,113.0,38.59,4.2,4.3,0
Auto,12.4,43.4,571.0,39.92,3.7,4.1,3
Auto,4.1,18.8,986.0,43.72,4.9,4.8,3
Go Mini,8.7,18.3,139.0,11.49,4.7,4.5,3
Auto,8.9,26.2,159.0,5.74,4.6,4.6,4
Auto,12.8,44.3,646.0,28.67,3.6,4.3,4
Auto,3.0,32.5,240.0,40.78,3.6,4.9,0
Auto,4.6,30.8,129.0,8.81,4.0,4.5,3
Go Mini,11.5,19.2,161.0,10.67,4.8,4.3,0
Premier Sedan,6.0,30.8,78.0,27.49,4.2,3.8,0
Go Sedan,4.5,23.7,369.0,49.13,4.3,4.4,1
Go Mini,10.1,22.4,983.0,21.3,4.7,4.7,2
Auto,14.7,31.3,364.0,12.96,4.3,4.3,0
Go Mini,6.4,35.8,72.0,46.41,4.9,5.0,2
Bike,2.4,37.3,240.0,9.94,4.4,4.8,0
Auto,6.9,22.8,715.0,47.7,4.7,4.1,3
Bike,13.7,38.8,309.0,14.23,4.3,4.6,3
Bike,11.6,38.6,379.0,47.13,4.3,3.4,3
Auto,8.4,31.4,247.0,16.25,3.8,4.3,3
eBike,12.1,28.3,988.0,9.1,4.6,4.7,3
Auto,6.9,26.4,745.0,6.09,4.1,4.6,3
Bike,10.5,17.2,665.0,33.24,4.3,4.9,4
Go Sedan,9.8,15.1,907.0,35.81,4.1,4.9,0
Go Sedan,4.7,29.0,802.0,18.04,4.2,4.2,3
Go Mini,10.8,25.1,1216.0,19.41,4.4,4.9,0
Go Mini,7.4,21.4,159.0,19.29,4.6,4.8,3
Go Mini,14.6,18.7,216.0,43.77,4.6,4.6,0
Go Sedan,13.7,35.3,342.0,10.2,4.2,3.8,3
Bike,6.9,15.5,86.0,8.93,4.3,4.6,2
Auto,10.6,44.2,299.0,12.02,3.4,3.0,0
Uber XL,6.1,24.3,499.0,15.06,3.9,4.6,0
Go Sedan,11.9,38.0,1227.0,40.38,4.9,4.2,1
Go Sedan,9.7,33.3,414.0,2.61,4.6,4.6,3
Auto,11.0,25.8,367.0,25.6,4.1,4.1,3
Go Sedan,5.4,17.2,294.0,36.94,4.2,4.3,3
Go Mini,3.9,30.3,1339.0,23.86,3.2,4.5,3
Go Sedan,7.2,32.4,1061.0,14.07,4.2,4.6,2
Go Sedan,9.0,35.8,312.0,9.46,4.1,3.8,1
Auto,12.4,29.3,240.0,43.92,3.8,4.7,0
Go Mini,4.3,31.3,150.0,25.43,4.1,5.0,2
Go Mini,9.2,20.3,79.0,8.48,3.7,4.8,3
Go Sedan,11.2,36.0,498.0,13.93,4.3,5.0,2
Bike,2.3,18.4,520.0,9.39,5.0,3.8,1
Bike,2.8,22.9,504.0,38.44,4.9,4.2,3
Premier Sedan,11.4,39.0,1451.0,27.47,4.3,4.9,0
Premier Sedan,2.3,26.7,888.0,31.39,5.0,5.0,3
Bike,10.4,19.8,183.0,8.76,4.2,4.3,0
Bike,12.3,20.9,614.0,34.9,4.4,4.9,4
Bike,5.9,29.1,480.0,26.52,3.8,4.4,1
Go Sedan,2.3,41.2,475.0,16.55,4.5,4.3,0
Uber XL,9.1,29.0,448.0,33.62,4.1,4.4,0
Uber XL,3.7,40.0,214.0,14.8,4.2,4.5,0
Bike,9.2,42.6,473.0,4.79,3.9,4.3,0
Go Sedan,7.3,15.0,402.0,9.35,4.2,5.0,4
Bike,4.5,32.7,482.0,31.92,3.6,4.9,1
Bike,2.3,33.5,104.0,14.94,3.9,4.6,3
Go Sedan,15.0,25.1,840.0,13.96,4.2,4.3,3
Go Mini,14.5,27.0,501.0,11.71,4.9,4.3,4
Go Mini,3.7,35.6,929.0,31.28,4.9,3.9,3
Go Mini,5.3,31.6,91.0,20.48,4.0,4.3,0
Go Sedan,11.8,30.8,819.0,3.58,4.2,4.4,1
Go Sedan,11.5,16.3,948.0,29.51,4.4,4.3,4
Auto,5.7,24.7,757.0,40.71,4.6,4.9,3
Auto,4.5,20.8,706.0,44.18,4.2,3.3,1
Go Mini,3.1,32.7,389.0,38.19,3.8,3.7,2
Bike,4.9,19.9,631.0,22.66,4.3,4.2,1
Go Sedan,12.8,32.1,935.0,38.05,4.6,4.6,2
Uber XL,3.6,43.9,88.0,8.4,4.4,4.3,1
Auto,5.4,30.7,87.0,21.16,4.1,3.3,3
Go Mini,10.9,37.6,472.0,46.07,4.6,4.1,0
Bike,5.3,41.5,1351.0,17.02,3.8,4.3,3
Go Sedan,4.3,29.2,636.0,23.95,3.7,4.2,2
Go Mini,3.1,18.4,141.0,42.06,3.3,4.2,3
Premier Sedan,4.6,37.7,680.0,7.65,4.8,4.1,3
Bike,5.2,18.2,268.0,3.37,5.0,3.1,3
Auto,2.9,30.8,899.0,42.09,4.2,4.1,1
Auto,12.8,25.6,628.0,36.03,4.2,3.9,4
Auto,7.6,39.6,535.0,47.82,4.3,4.6,3
Bike,2.3,27.7,89.0,25.49,4.2,4.9,0
Premier Sedan,3.0,33.3,357.0,34.94,4.1,4.8,0
Auto,5.1,43.2,122.0,38.45,4.2,4.2,0
Premier Sedan,7.8,40.5,154.0,15.11,4.3,3.4,3
eBike,6.8,19.6,359.0,21.16,4.4,4.9,3
Go Mini,8.5,28.7,388.0,41.21,4.4,4.6,3
Bike,10.6,36.4,245.0,2.52,4.3,4.7,0
Premier Sedan,7.3,37.5,136.0,9.55,4.2,4.3,3
Premier Sedan,7.3,30.4,465.0,21.04,4.7,4.4,3
Auto,14.4,25.0,788.0,36.13,4.2,4.5,3
Premier Sedan,4.6,27.5,488.0,37.69,4.3,4.2,0
Go Sedan,3.9,32.3,412.0,26.44,4.2,4.8,1
Go Mini,4.3,36.0,872.0,24.38,4.6,4.9,1
Bike,3.1,36.9,447.0,28.77,4.7,5.0,4
eBike,14.5,28.0,422.0,18.28,4.2,4.7,2
Go Sedan,10.9,39.7,1003.0,14.66,4.4,4.2,3
Auto,7.2,24.4,284.0,42.68,4.3,4.8,0
Go Sedan,5.7,15.4,100.0,18.45,3.9,4.3,1
Auto,9.1,32.8,161.0,47.88,4.1,4.9,0
Go Mini,5.8,33.7,413.0,49.2,4.7,5.0,2
eBike,13.3,20.5,528.0,10.32,4.2,4.9,1
Go Mini,6.1,16.1,272.0,22.08,4.7,4.3,0
Auto,3.6,26.7,76.0,2.69,4.4,4.3,1
Bike,14.1,36.5,635.0,15.97,4.3,4.1,0
Bike,10.5,30.8,447.0,48.77,3.7,4.2,2
eBike,2.7,20.5,229.0,38.36,4.0,4.6,0
eBike,6.9,22.8,227.0,15.21,4.8,4.6,3
Go Sedan,13.7,22.0,429.0,33.78,3.6,4.9,3
Premier Sedan,3.2,26.9,214.0,11.36,3.9,3.9,4
Go Mini,4.8,19.6,177.0,22.04,4.3,4.4,3
Premier Sedan,9.3,43.9,398.0,46.89,4.2,5.0,3
eBike,3.1,45.0,3434.0,39.94,3.1,4.3,1
Auto,3.9,43.2,769.0,21.82,4.8,4.9,1
Auto,7.3,30.2,249.0,18.45,4.2,4.7,3
Go Mini,5.6,39.4,409.0,48.53,4.3,4.7,3
Bike,9.8,18.9,605.0,10.0,4.8,4.2,0
Premier Sedan,8.9,37.4,987.0,28.34,4.7,4.5,3
Go Mini,12.8,27.2,568.0,33.0,4.1,4.4,3
eBike,7.3,36.3,786.0,37.05,5.0,4.3,4
Bike,11.0,31.5,494.0,12.81,4.6,4.9,4
Go Mini,9.8,43.7,1224.0,18.57,4.9,4.7,3
Auto,5.0,35.3,565.0,46.11,3.4,4.2,0
Go Mini,8.2,24.2,1147.0,6.18,4.7,4.2,2
Bike,6.1,24.8,369.0,25.6,4.5,4.2,3
eBike,2.2,17.6,872.0,45.93,3.7,4.6,0
Auto,7.7,31.5,931.0,14.41,4.7,4.3,0
Uber XL,11.7,28.9,506.0,49.21,3.9,4.2,2
Go Sedan,14.9,25.5,688.0,46.02,4.2,4.1,1
Go Mini,3.5,19.8,1047.0,12.36,4.6,3.5,1
Bike,14.4,17.2,1266.0,11.27,4.7,4.8,3
Go Sedan,14.8,17.5,410.0,47.17,4.6,4.9,0
Go Sedan,14.7,27.5,1364.0,19.91,4.8,4.6,0
Go Sedan,5.9,31.6,785.0,7.79,4.3,3.8,3
Bike,8.1,15.1,498.0,36.15,4.2,3.8,4
Auto,9.6,41.6,705.0,48.47,4.2,4.9,1
Go Mini,12.8,25.0,338.0,19.73,4.9,5.0,0
Auto,11.4,34.0,132.0,49.64,4.2,4.6,2
Auto,9.9,38.6,252.0,8.18,4.6,4.2,3
Go Sedan,11.7,42.0,331.0,37.28,4.3,4.6,4
eBike,11.3,15.2,995.0,32.45,4.2,4.2,4
Go Sedan,14.4,36.3,715.0,44.45,4.7,4.2,0
Premier Sedan,2.4,42.2,707.0,48.49,4.6,4.3,1
Auto,2.6,42.3,387.0,35.46,4.2,4.3,4
Auto,14.6,20.2,154.0,36.61,4.4,4.6,3
Auto,11.6,26.1,789.0,29.46,4.3,4.5,3
Premier Sedan,3.0,16.1,302.0,44.53,4.3,4.3,3
Bike,13.7,38.2,266.0,41.16,4.8,4.1,3
Go Mini,4.0,37.8,94.0,10.56,4.6,4.1,3
Bike,3.1,33.6,64.0,40.24,4.3,4.3,0
eBike,9.1,41.2,311.0,15.33,4.3,4.2,3
Auto,14.1,19.2,68.0,25.7,4.6,4.3,0
Auto,7.4,24.2,966.0,13.91,5.0,4.6,0
Go Sedan,2.8,41.0,461.0,46.51,3.7,4.2,4
Go Sedan,8.1,35.7,923.0,36.74,4.4,4.6,3
Auto,8.0,35.2,522.0,41.8,4.5,4.2,0
eBike,3.0,21.3,123.0,38.47,4.3,3.4,3
eBike,6.9,24.7,263.0,32.19,4.6,4.6,3
Uber XL,13.1,42.4,343.0,14.34,4.3,4.6,3
Go Sedan,3.9,36.4,1149.0,35.45,4.9,4.9,2
Premier Sedan,10.0,25.0,921.0,36.34,4.5,3.1,0
Bike,13.5,29.2,958.0,46.8,4.5,5.0,1
Go Mini,12.2,17.2,326.0,17.37,3.3,4.0,3
eBike,13.6,42.5,255.0,46.27,3.3,4.3,0
Go Sedan,6.1,16.1,287.0,44.88,4.5,4.2,0
eBike,3.7,40.1,298.0,37.47,4.2,4.6,3
Go Mini,7.7,32.6,422.0,24.88,4.9,4.4,3
eBike,10.4,31.2,223.0,46.54,3.8,4.7,4
Auto,9.5,17.0,814.0,17.97,4.1,4.6,0
Uber XL,12.6,26.6,550.0,4.59,4.3,4.7,3
Auto,13.2,31.3,2392.0,6.74,4.2,4.9,3
Auto,7.7,32.3,734.0,48.1,4.0,5.0,0
Bike,12.3,32.1,120.0,6.67,4.2,4.2,2
Premier Sedan,3.8,35.6,202.0,17.27,4.2,5.0,3
Auto,11.1,35.0,172.0,31.87,4.3,3.8,3
Uber XL,2.5,44.8,958.0,30.8,4.6,4.2,0
Auto,3.4,24.8,900.0,31.49,4.3,5.0,3
Go Sedan,7.7,42.6,250.0,49.88,4.4,4.6,2
Bike,8.5,36.1,90.0,23.81,4.6,4.2,3
Auto,3.8,28.8,213.0,20.56,4.6,4.4,0
Go Mini,5.8,41.8,177.0,44.67,3.9,4.2,3
Auto,14.5,29.2,437.0,10.95,3.2,4.4,3
Auto,8.3,38.3,119.0,6.66,4.5,4.8,3
Go Sedan,15.0,21.1,495.0,32.38,3.9,4.2,3
Go Mini,10.2,34.5,624.0,38.72,4.8,4.3,3
Auto,9.6,35.7,300.0,22.73,4.3,4.3,3
Bike,4.5,30.4,469.0,48.39,4.2,4.2,4
Auto,13.4,24.5,301.0,49.95,4.2,3.6,4
Auto,14.9,44.8,169.0,38.36,4.4,5.0,2
Premier Sedan,6.7,17.7,602.0,14.92,4.5,4.3,3
Premier Sedan,2.0,35.6,283.0,23.08,4.6,4.9,2
Go Mini,9.5,32.9,181.0,35.8,4.4,4.7,3
Auto,4.1,19.8,465.0,6.91,4.0,3.9,3
Go Sedan,13.6,30.2,765.0,49.51,4.9,4.1,3
Bike,12.5,35.6,1433.0,10.04,4.6,3.7,3
Go Mini,11.7,27.5,376.0,44.08,4.6,4.4,3
Auto,8.2,35.7,165.0,8.16,4.3,5.0,3
Go Mini,4.7,41.6,144.0,32.31,4.4,4.1,0
Bike,10.3,24.2,294.0,49.33,4.6,3.7,1
Go Mini,12.4,15.5,597.0,26.16,3.1,4.6,0
Go Mini,4.0,30.9,859.0,14.46,4.3,4.3,0
Go Sedan,6.4,30.6,540.0,30.47,4.4,5.0,2
Go Mini,9.8,35.5,339.0,9.11,4.2,3.9,0
Bike,11.6,27.2,412.0,37.07,3.7,4.2,0
Go Sedan,12.6,23.1,326.0,35.07,4.1,4.8,0
Go Mini,13.9,42.8,788.0,48.55,3.2,4.3,3
eBike,6.1,42.5,69.0,49.36,3.6,4.6,3
Bike,11.5,16.7,326.0,7.78,4.7,4.8,4
Bike,12.4,39.6,519.0,35.8,4.6,4.4,0
Auto,6.7,19.0,124.0,11.71,4.6,4.9,3
Auto,4.6,15.3,180.0,20.31,4.2,4.1,1
Go Sedan,4.1,19.6,458.0,28.75,4.5,3.6,3
eBike,7.9,31.1,294.0,30.56,4.9,4.6,2
Auto,3.5,35.5,1375.0,12.94,3.2,4.3,3
Auto,13.5,38.9,507.0,27.99,4.4,3.2,3
Auto,3.3,41.3,420.0,27.42,3.8,4.4,0
Uber XL,10.3,24.9,677.0,6.85,4.0,4.4,1
Go Mini,12.6,44.3,994.0,37.76,4.6,4.6,1
Auto,14.5,22.9,136.0,43.08,4.1,3.8,4
